0.02 0.02 0.72615
0.02 0.04 0.70455
0.02 0.06 0.68200
0.02 0.08 0.65611
0.02 0.10 0.63013
0.02 0.12 0.59945
0.02 0.14 0.56138
0.02 0.16 0.52495
0.02 0.18 0.48505
0.02 0.20 0.43643
0.02 0.22 0.38753
0.02 0.24 0.32943
0.02 0.26 0.27397
0.02 0.28 0.21057
0.02 0.30 0.15309
0.02 0.32 0.10912
0.02 0.34 0.06945
0.02 0.36 0.04326
0.02 0.38 0.02474
0.02 0.40 0.01434
0.02 0.42 0.00766
0.02 0.44 0.00390
0.02 0.46 0.00220
0.02 0.48 0.00137
0.02 0.50 0.00042
0.02 0.52 0.00024
0.02 0.54 0.00012
0.02 0.56 0.00009
0.02 0.58 0.00004
0.02 0.60 0.00000
0.02 0.62 0.00000
0.02 0.64 0.00000
0.02 0.66 0.00000
0.02 0.68 0.00000
0.02 0.70 0.00000
0.02 0.72 0.00000
0.02 0.74 0.00000
0.02 0.76 0.00000
0.02 0.78 0.00000
0.02 0.80 0.00000
0.02 0.82 0.00000
0.02 0.84 0.00000
0.02 0.86 0.00000
0.02 0.88 0.00000
0.02 0.90 0.00000
0.02 0.92 0.00000
0.02 0.94 0.00000
0.02 0.96 0.00000
0.02 0.98 0.00000
0.04 0.02 0.92751
0.04 0.04 0.91852
0.04 0.06 0.90849
0.04 0.08 0.89620
0.04 0.10 0.88144
0.04 0.12 0.86477
0.04 0.14 0.84275
0.04 0.16 0.82202
0.04 0.18 0.79106
0.04 0.20 0.75910
0.04 0.22 0.70908
0.04 0.24 0.65177
0.04 0.26 0.58530
0.04 0.28 0.50774
0.04 0.30 0.40499
0.04 0.32 0.29592
0.04 0.34 0.19679
0.04 0.36 0.11843
0.04 0.38 0.06501
0.04 0.40 0.03640
0.04 0.42 0.01968
0.04 0.44 0.00985
0.04 0.46 0.00481
0.04 0.48 0.00233
0.04 0.50 0.00114
0.04 0.52 0.00045
0.04 0.54 0.00019
0.04 0.56 0.00011
0.04 0.58 0.00005
0.04 0.60 0.00002
0.04 0.62 0.00001
0.04 0.64 0.00000
0.04 0.66 0.00000
0.04 0.68 0.00000
0.04 0.70 0.00000
0.04 0.72 0.00000
0.04 0.74 0.00000
0.04 0.76 0.00000
0.04 0.78 0.00000
0.04 0.80 0.00000
0.04 0.82 0.00000
0.04 0.84 0.00000
0.04 0.86 0.00000
0.04 0.88 0.00000
0.04 0.90 0.00000
0.04 0.92 0.00000
0.04 0.94 0.00000
0.04 0.96 0.00000
0.04 0.98 0.00000
0.06 0.02 0.98116
0.06 0.04 0.97715
0.06 0.06 0.97357
0.06 0.08 0.96897
0.06 0.10 0.96364
0.06 0.12 0.95634
0.06 0.14 0.95045
0.06 0.16 0.93949
0.06 0.18 0.92661
0.06 0.20 0.90607
0.06 0.22 0.88598
0.06 0.24 0.85321
0.06 0.26 0.81144
0.06 0.28 0.75049
0.06 0.30 0.66429
0.06 0.32 0.55445
0.06 0.34 0.40579
0.06 0.36 0.25609
0.06 0.38 0.14396
0.06 0.40 0.07415
0.06 0.42 0.03707
0.06 0.44 0.01803
0.06 0.46 0.00827
0.06 0.48 0.00405
0.06 0.50 0.00195
0.06 0.52 0.00095
0.06 0.54 0.00042
0.06 0.56 0.00009
0.06 0.58 0.00008
0.06 0.60 0.00003
0.06 0.62 0.00001
0.06 0.64 0.00001
0.06 0.66 0.00000
0.06 0.68 0.00000
0.06 0.70 0.00000
0.06 0.72 0.00000
0.06 0.74 0.00000
0.06 0.76 0.00000
0.06 0.78 0.00000
0.06 0.80 0.00000
0.06 0.82 0.00000
0.06 0.84 0.00000
0.06 0.86 0.00000
0.06 0.88 0.00000
0.06 0.90 0.00000
0.06 0.92 0.00000
0.06 0.94 0.00000
0.06 0.96 0.00000
0.06 0.98 0.00000
0.08 0.02 0.99503
0.08 0.04 0.99424
0.08 0.06 0.99285
0.08 0.08 0.99192
0.08 0.10 0.98994
0.08 0.12 0.98752
0.08 0.14 0.98420
0.08 0.16 0.98099
0.08 0.18 0.97716
0.08 0.20 0.96945
0.08 0.22 0.96036
0.08 0.24 0.94677
0.08 0.26 0.93137
0.08 0.28 0.90250
0.08 0.30 0.85125
0.08 0.32 0.77995
0.08 0.34 0.65111
0.08 0.36 0.49009
0.08 0.38 0.29375
0.08 0.40 0.14824
0.08 0.42 0.06896
0.08 0.44 0.03064
0.08 0.46 0.01460
0.08 0.48 0.00658
0.08 0.50 0.00291
0.08 0.52 0.00135
0.08 0.54 0.00053
0.08 0.56 0.00030
0.08 0.58 0.00006
0.08 0.60 0.00003
0.08 0.62 0.00003
0.08 0.64 0.00001
0.08 0.66 0.00000
0.08 0.68 0.00000
0.08 0.70 0.00000
0.08 0.72 0.00000
0.08 0.74 0.00000
0.08 0.76 0.00000
0.08 0.78 0.00000
0.08 0.80 0.00000
0.08 0.82 0.00000
0.08 0.84 0.00000
0.08 0.86 0.00000
0.08 0.88 0.00000
0.08 0.90 0.00000
0.08 0.92 0.00000
0.08 0.94 0.00000
0.08 0.96 0.00000
0.08 0.98 0.00000
0.10 0.02 0.99890
0.10 0.04 0.99863
0.10 0.06 0.99823
0.10 0.08 0.99783
0.10 0.10 0.99710
0.10 0.12 0.99641
0.10 0.14 0.99547
0.10 0.16 0.99363
0.10 0.18 0.99249
0.10 0.20 0.98966
0.10 0.22 0.98663
0.10 0.24 0.98160
0.10 0.26 0.97384
0.10 0.28 0.96153
0.10 0.30 0.94183
0.10 0.32 0.91282
0.10 0.34 0.84710
0.10 0.36 0.72536
0.10 0.38 0.54141
0.10 0.40 0.30531
0.10 0.42 0.13011
0.10 0.44 0.05208
0.10 0.46 0.02315
0.10 0.48 0.00964
0.10 0.50 0.00412
0.10 0.52 0.00194
0.10 0.54 0.00086
0.10 0.56 0.00032
0.10 0.58 0.00013
0.10 0.60 0.00006
0.10 0.62 0.00002
0.10 0.64 0.00001
0.10 0.66 0.00000
0.10 0.68 0.00000
0.10 0.70 0.00000
0.10 0.72 0.00000
0.10 0.74 0.00000
0.10 0.76 0.00000
0.10 0.78 0.00000
0.10 0.80 0.00000
0.10 0.82 0.00000
0.10 0.84 0.00000
0.10 0.86 0.00000
0.10 0.88 0.00000
0.10 0.90 0.00000
0.10 0.92 0.00000
0.10 0.94 0.00000
0.10 0.96 0.00000
0.10 0.98 0.00000
0.12 0.02 0.99959
0.12 0.04 0.99960
0.12 0.06 0.99952
0.12 0.08 0.99945
0.12 0.10 0.99936
0.12 0.12 0.99932
0.12 0.14 0.99896
0.12 0.16 0.99854
0.12 0.18 0.99841
0.12 0.20 0.99767
0.12 0.22 0.99615
0.12 0.24 0.99454
0.12 0.26 0.99144
0.12 0.28 0.98844
0.12 0.30 0.98087
0.12 0.32 0.96867
0.12 0.34 0.94242
0.12 0.36 0.88779
0.12 0.38 0.77338
0.12 0.40 0.53141
0.12 0.42 0.26509
0.12 0.44 0.10185
0.12 0.46 0.03824
0.12 0.48 0.01473
0.12 0.50 0.00632
0.12 0.52 0.00259
0.12 0.54 0.00109
0.12 0.56 0.00040
0.12 0.58 0.00019
0.12 0.60 0.00008
0.12 0.62 0.00003
0.12 0.64 0.00001
0.12 0.66 0.00002
0.12 0.68 0.00000
0.12 0.70 0.00000
0.12 0.72 0.00000
0.12 0.74 0.00000
0.12 0.76 0.00000
0.12 0.78 0.00000
0.12 0.80 0.00000
0.12 0.82 0.00000
0.12 0.84 0.00000
0.12 0.86 0.00000
0.12 0.88 0.00000
0.12 0.90 0.00000
0.12 0.92 0.00000
0.12 0.94 0.00000
0.12 0.96 0.00000
0.12 0.98 0.00000
0.14 0.02 0.99988
0.14 0.04 0.99989
0.14 0.06 0.99988
0.14 0.08 0.99988
0.14 0.10 0.99980
0.14 0.12 0.99970
0.14 0.14 0.99973
0.14 0.16 0.99964
0.14 0.18 0.99940
0.14 0.20 0.99901
0.14 0.22 0.99847
0.14 0.24 0.99841
0.14 0.26 0.99760
0.14 0.28 0.99605
0.14 0.30 0.99439
0.14 0.32 0.99011
0.14 0.34 0.98202
0.14 0.36 0.96261
0.14 0.38 0.91689
0.14 0.40 0.79230
0.14 0.42 0.50149
0.14 0.44 0.20707
0.14 0.46 0.06505
0.14 0.48 0.02359
0.14 0.50 0.00865
0.14 0.52 0.00400
0.14 0.54 0.00155
0.14 0.56 0.00059
0.14 0.58 0.00027
0.14 0.60 0.00012
0.14 0.62 0.00006
0.14 0.64 0.00000
0.14 0.66 0.00000
0.14 0.68 0.00000
0.14 0.70 0.00000
0.14 0.72 0.00000
0.14 0.74 0.00000
0.14 0.76 0.00000
0.14 0.78 0.00000
0.14 0.80 0.00000
0.14 0.82 0.00000
0.14 0.84 0.00000
0.14 0.86 0.00000
0.14 0.88 0.00000
0.14 0.90 0.00000
0.14 0.92 0.00000
0.14 0.94 0.00000
0.14 0.96 0.00000
0.14 0.98 0.00000
0.16 0.02 0.99997
0.16 0.04 0.99998
0.16 0.06 0.99996
0.16 0.08 0.99998
0.16 0.10 0.99997
0.16 0.12 0.99992
0.16 0.14 0.99992
0.16 0.16 0.99993
0.16 0.18 0.99984
0.16 0.20 0.99974
0.16 0.22 0.99953
0.16 0.24 0.99947
0.16 0.26 0.99912
0.16 0.28 0.99868
0.16 0.30 0.99821
0.16 0.32 0.99643
0.16 0.34 0.99476
0.16 0.36 0.98809
0.16 0.38 0.97318
0.16 0.40 0.92377
0.16 0.42 0.76756
0.16 0.44 0.42644
0.16 0.46 0.13957
0.16 0.48 0.03895
0.16 0.50 0.01350
0.16 0.52 0.00551
0.16 0.54 0.00182
0.16 0.56 0.00081
0.16 0.58 0.00042
0.16 0.60 0.00016
0.16 0.62 0.00005
0.16 0.64 0.00001
0.16 0.66 0.00001
0.16 0.68 0.00001
0.16 0.70 0.00000
0.16 0.72 0.00000
0.16 0.74 0.00000
